date,close,open,high,low,volume
2020-11-02T00:00:00-05:00,10429.3,10456.3,10511.5,10426.8,181857000.0
2020-11-03T00:00:00-05:00,10512.2,10429.3,10512.2,10426.9,114152000.0
2020-11-04T00:00:00-05:00,10556.9,10512.2,10562.8,10512.2,75910200.0
2020-11-05T00:00:00-05:00,10629.3,10556.9,10638.1,10513.6,89506500.0
2020-11-09T00:00:00-05:00,10838.7,10680.3,10838.7,10680.3,188228000.0
2020-11-10T00:00:00-05:00,11077.2,10838.7,11123.0,10838.7,206459000.0
2020-11-11T00:00:00-05:00,10997.6,11077.2,11077.2,10982.2,174249000.0
2020-11-12T00:00:00-05:00,11017.3,10997.6,11028.4,10997.6,213677000.0
2020-11-16T00:00:00-05:00,10991.6,10953.1,10994.4,10953.1,145170000.0
2020-11-17T00:00:00-05:00,11064.0,10991.6,11076.7,10991.6,234763000.0
2020-11-18T00:00:00-05:00,10989.7,11064.0,11070.0,10989.7,121424000.0
2020-11-19T00:00:00-05:00,10898.7,10989.7,10989.7,10890.1,123623000.0
2020-11-23T00:00:00-05:00,10885.1,10858.3,10924.8,10858.3,226027000.0
2020-11-24T00:00:00-05:00,10997.4,10885.1,10999.0,10885.1,271117000.0
2020-11-25T00:00:00-05:00,11068.4,10997.4,11112.5,10997.4,238336000.0
2020-11-26T00:00:00-05:00,10981.0,11068.4,11085.8,10966.5,127712000.0
2020-11-30T00:00:00-05:00,10943.4,11009.3,11017.6,10940.4,170429000.0
2020-12-01T00:00:00-05:00,11040.8,10943.4,11041.0,10937.2,178182000.0
2020-12-02T00:00:00-05:00,11023.3,11040.8,11103.7,11023.3,219672000.0
2020-12-03T00:00:00-05:00,11015.0,11023.3,11027.7,10970.4,125695000.0
2020-12-07T00:00:00-05:00,10995.1,11024.8,11036.4,10995.1,247850000.0
2020-12-08T00:00:00-05:00,11019.1,10995.1,11019.9,10989.3,236328000.0
2020-12-09T00:00:00-05:00,11018.1,11019.1,11049.6,11013.4,183762000.0
2020-12-10T00:00:00-05:00,10987.4,11018.6,11022.8,10987.4,139079000.0
2020-12-14T00:00:00-05:00,11048.0,11003.8,11072.8,11003.8,175252000.0
2020-12-15T00:00:00-05:00,11057.6,11048.0,11100.8,11046.0,195638000.0
2020-12-16T00:00:00-05:00,10983.0,11057.6,11063.8,10983.0,154804000.0
2020-12-17T00:00:00-05:00,10844.6,10983.0,10983.0,10843.5,130097000.0
2020-12-21T00:00:00-05:00,10581.8,10890.3,10892.3,10580.5,235288000.0
2020-12-22T00:00:00-05:00,10655.9,10581.8,10655.9,10545.9,138817000.0
2020-12-23T00:00:00-05:00,10677.5,10655.9,10717.0,10655.9,171409000.0
2020-12-24T00:00:00-05:00,10683.9,10677.5,10730.1,10677.2,259637000.0
2020-12-28T00:00:00-05:00,10658.5,10585.6,10674.7,10585.6,164655000.0
2020-12-29T00:00:00-05:00,10736.9,10658.5,10737.4,10658.5,168555000.0
2020-12-30T00:00:00-05:00,10867.8,10736.9,10870.1,10736.9,188473000.0
2020-12-31T00:00:00-05:00,10845.3,10867.8,10897.5,10844.5,158441000.0
2021-01-04T00:00:00-05:00,10813.8,10845.0,10860.7,10813.1,145135000.0
2021-01-05T00:00:00-05:00,10830.0,10813.8,10855.1,10804.5,204738000.0
2021-01-06T00:00:00-05:00,10952.1,10830.0,10971.6,10830.0,139815000.0
2021-01-11T00:00:00-05:00,11278.7,11213.5,11287.1,11213.5,141281000.0
2021-01-12T00:00:00-05:00,11339.8,11278.7,11354.3,11274.8,173836000.0
2021-01-13T00:00:00-05:00,11388.9,11339.8,11388.9,11322.7,280044000.0
2021-01-14T00:00:00-05:00,11453.4,11388.9,11462.0,11380.9,149215000.0
2021-01-18T00:00:00-05:00,11450.5,11446.5,11503.3,11446.5,150444000.0
2021-01-19T00:00:00-05:00,11485.8,11450.5,11485.8,11420.7,178235000.0
2021-01-20T00:00:00-05:00,11598.9,11485.8,11604.5,11485.8,315241000.0
2021-01-21T00:00:00-05:00,11654.6,11598.9,11675.7,11598.9,241280000.0
2021-01-25T00:00:00-05:00,11509.6,11525.2,11542.3,11507.0,255474000.0
2021-01-26T00:00:00-05:00,11527.3,11509.6,11528.4,11478.6,234195000.0
2021-01-27T00:00:00-05:00,11578.8,11527.3,11591.2,11527.3,169061000.0
2021-02-01T00:00:00-05:00,11589.3,11546.1,11623.8,11546.1,176869000.0
2021-02-02T00:00:00-05:00,11637.5,11589.3,11645.7,11589.3,184859000.0
2021-02-03T00:00:00-05:00,11619.1,11637.5,11673.5,11618.9,163598000.0
2021-02-04T00:00:00-05:00,11598.9,11619.1,11632.1,11597.0,139545000.0
2021-02-08T00:00:00-05:00,11523.1,11602.8,11665.0,11523.1,431011000.0
2021-02-09T00:00:00-05:00,11447.7,11523.1,11523.1,11429.3,195458000.0
2021-02-10T00:00:00-05:00,11545.0,11447.7,11546.1,11447.7,258174000.0
2021-02-11T00:00:00-05:00,11546.3,11545.0,11584.4,11545.0,76315100.0
2021-02-15T00:00:00-05:00,11526.8,11506.7,11547.0,11506.7,92773700.0
2021-02-16T00:00:00-05:00,11534.0,11526.8,11566.0,11514.7,77402100.0
2021-02-17T00:00:00-05:00,11413.2,11534.0,11541.3,11413.1,757836000.0
2021-02-18T00:00:00-05:00,11380.5,11413.2,11429.8,11378.0,383597000.0
2021-02-22T00:00:00-05:00,11550.0,11425.9,11551.9,11425.9,273523000.0
2021-02-23T00:00:00-05:00,11416.7,11550.0,11556.3,11416.7,285912000.0
2021-02-24T00:00:00-05:00,11435.4,11416.7,11435.4,11288.3,176302000.0
2021-02-25T00:00:00-05:00,11617.9,11435.4,11621.6,11435.4,269032000.0
2021-03-01T00:00:00-05:00,11521.4,11525.0,11589.0,11519.2,177108000.0
2021-03-02T00:00:00-05:00,11471.4,11521.4,11533.5,11471.4,216132000.0
2021-03-03T00:00:00-05:00,11393.2,11471.4,11489.2,11386.7,260100000.0
2021-03-04T00:00:00-05:00,11333.9,11393.2,11410.0,11298.1,148094000.0
2021-03-08T00:00:00-05:00,11459.5,11557.9,11609.8,11459.4,200275000.0
2021-03-09T00:00:00-05:00,11337.5,11459.5,11495.5,11337.4,133135000.0
2021-03-10T00:00:00-05:00,11235.6,11337.5,11337.5,11187.6,298987000.0
2021-03-11T00:00:00-05:00,11261.4,11235.6,11273.0,11202.1,339507000.0
2021-03-15T00:00:00-04:00,11222.3,11289.6,11333.0,11222.3,196166000.0
2021-03-16T00:00:00-04:00,11190.8,11222.3,11223.6,11146.3,145121000.0
2021-03-17T00:00:00-04:00,11068.4,11190.8,11195.6,11068.4,124811000.0
2021-03-18T00:00:00-04:00,10918.4,11068.4,11068.4,10900.3,168132000.0
2021-03-22T00:00:00-04:00,10537.2,10802.3,10802.3,10537.0,148177000.0
2021-03-23T00:00:00-04:00,10471.4,10537.2,10538.2,10317.0,211279000.0
2021-03-24T00:00:00-04:00,10702.2,10471.4,10723.6,10471.4,129220000.0
2021-03-25T00:00:00-04:00,10870.5,10702.2,10870.5,10691.9,100743000.0
2021-03-29T00:00:00-04:00,10738.4,10867.7,10876.0,10733.2,128908000.0
2021-03-30T00:00:00-04:00,10739.7,10738.4,10786.1,10717.6,218467000.0
2021-03-31T00:00:00-04:00,10568.4,10739.7,10740.5,10565.6,258273000.0
2021-04-01T00:00:00-04:00,10564.9,10568.4,10601.6,10543.8,122791000.0
2021-04-05T00:00:00-04:00,10256.9,10417.1,10417.1,10149.2,160779000.0
2021-04-06T00:00:00-04:00,10263.2,10256.9,10291.6,10222.0,115366000.0
2021-04-07T00:00:00-04:00,10227.7,10263.2,10263.2,10209.4,102592000.0
2021-04-08T00:00:00-04:00,10303.5,10227.7,10312.0,10227.5,103086000.0
2021-04-12T00:00:00-04:00,10450.1,10393.1,10503.1,10392.4,192887000.0
2021-04-13T00:00:00-04:00,10305.8,10450.1,10460.6,10305.8,154154000.0
2021-04-14T00:00:00-04:00,10115.5,10305.8,10322.5,10114.7,183049000.0
2021-04-15T00:00:00-04:00,10143.2,10115.5,10212.7,10115.5,121151000.0
2021-04-19T00:00:00-04:00,10441.0,10358.3,10441.2,10351.1,75242400.0
2021-04-20T00:00:00-04:00,10620.0,10441.0,10620.0,10441.0,149632000.0
2021-04-21T00:00:00-04:00,10642.5,10620.0,10711.4,10616.8,108388000.0
2021-04-22T00:00:00-04:00,10600.1,10642.5,10643.2,10560.2,154733000.0
2021-04-26T00:00:00-04:00,10525.8,10604.3,10604.3,10507.5,99182600.0
2021-04-27T00:00:00-04:00,10591.4,10525.8,10598.9,10525.8,118636000.0
2021-04-28T00:00:00-04:00,10475.3,10591.4,10594.4,10475.3,70092800.0
2021-05-04T00:00:00-04:00,10465.6,10475.3,10475.3,10429.1,61337800.0
2021-05-05T00:00:00-04:00,10512.8,10465.6,10515.7,10418.4,112071000.0
2021-05-06T00:00:00-04:00,10588.1,10512.8,10589.1,10512.8,108213000.0
2021-05-10T00:00:00-04:00,10686.0,10643.6,10688.0,10632.0,69704000.0
2021-05-11T00:00:00-04:00,10767.8,10686.0,10771.6,10686.0,90731000.0
2021-05-17T00:00:00-04:00,10674.7,10767.8,10790.8,10673.7,133964000.0
2021-05-18T00:00:00-04:00,10780.9,10674.7,10780.9,10669.2,168600000.0
2021-05-19T00:00:00-04:00,10806.2,10780.9,10876.2,10780.9,145926000.0
2021-05-20T00:00:00-04:00,10732.0,10806.2,10816.6,10731.5,128648000.0
2021-05-24T00:00:00-04:00,10761.0,10812.1,10835.2,10760.8,127902000.0
2021-05-25T00:00:00-04:00,10531.8,10761.0,10761.0,10531.6,119708000.0
2021-05-26T00:00:00-04:00,10369.6,10531.8,10532.4,10369.6,210359000.0
2021-05-27T00:00:00-04:00,10242.3,10369.6,10374.3,10242.3,639529000.0
2021-05-31T00:00:00-04:00,10309.1,10301.6,10391.8,10301.6,452329000.0
2021-06-01T00:00:00-04:00,10240.2,10309.1,10323.5,10231.4,264447000.0
